NOrden,NOrdenPadre,Descripción,MEDIDA_TUB,MATERIAL,L_COLECTOR,L_MANGUITO,CANTIDAD,Prioridad
OF-1001,,COLECTOR 1500L 450M,1/2,Cobre,,,2,Alta
OF-1002,,MANGUITO SOLDAR,3/8,Hierro,1200,0,4,Normal
OF-1003,,CD-05 2000L,5/8,Cobre,,,1,Alta
OF-1004,PAD-01,COLECTOR RETORNO,2,Hierro,3550,450,2,Baja
OF-1005,,S-14 800L 250M,1/2,Cobre,,,5,Normal
OF-1006,,MANGUITO 1/2,1/2,Cobre,650,200,10,Alta
OF-1007,PAD-02,SEMIELABORADO,1 5/8,Cobre,4000,500,2,Normal
OF-1008,,COLECTOR FRÍO,3/8,Hierro,1250,300,3,Alta
OF-1009,,CD-02 2450L 350M,1/2,Hierro,,,1,Normal
OF-1010,PAD-01,COLECTOR 5/8,5/8,Cobre,1800,200,4,Baja
OF-1011,,COLECTOR 900L,2,Hierro,,,2,Alta
OF-1012,,S-15,3/8,Cobre,1100,0,6,Normal
OF-1013,PAD-03,COLECTOR CALOR,1 5/8,Cobre,3200,600,1,Alta
OF-1014,,MANGUITO 450L 100M,1/2,Cobre,,,8,Normal
OF-1015,,COLECTOR 3/8,3/8,Hierro,1450,350,2,Normal
OF-1016,,CD-07 1950L,5/8,Hierro,,,3,Alta
OF-1017,PAD-04,COLECTOR PRINCIPAL,2,Cobre,4500,800,1,Alta
OF-1018,,MANGUITO SOLDAR,1/2,Hierro,850,250,5,Normal
OF-1019,,SEMIELABORADO 3/8,3/8,Cobre,1050,150,4,Baja
OF-1020,,COLECTOR 1/2,1/2,Cobre,1650,400,2,Alta
OF-1021,PAD-02,CD-01 2200L 450M,5/8,Cobre,,,3,Normal
OF-1022,,MANGUITO 3/8,3/8,Hierro,950,200,7,Alta
OF-1023,,COLECTOR 2",2,Hierro,2800,500,2,Normal
OF-1024,PAD-05,S-12 1350L,1 5/8,Cobre,,,4,Alta
OF-1025,,COLECTOR 5/8,5/8,Hierro,1750,300,3,Normal
OF-1026,,CD-04,1/2,Cobre,1550,250,5,Alta
OF-1027,,MANGUITO 5/8,5/8,Cobre,750,150,8,Normal
OF-1028,PAD-06,COLECTOR RETORNO,3/8,Hierro,2100,400,2,Baja
OF-1029,,S-09 1150L 300M,2,Cobre,,,1,Alta
OF-1030,,COLECTOR PRINCIPAL,1 5/8,Hierro,3800,700,2,Normal
OF-1031,PAD-07,CD-08 1400L,1/2,Hierro,,,6,Alta
OF-1032,,MANGUITO 1/2,1/2,Cobre,600,100,12,Normal
OF-1033,,COLECTOR FRÍO,3/8,Cobre,1300,250,4,Alta
OF-1034,,S-03 2600L 550M,5/8,Hierro,,,2,Normal
OF-1035,PAD-08,COLECTOR 2",2,Cobre,2900,600,1,Alta
OF-1036,,MANGUITO SOLDAR,1 5/8,Hierro,800,200,5,Normal
OF-1037,,CD-06 1850L,1/2,Cobre,,,3,Alta
OF-1038,,SEMIELABORADO,3/8,Hierro,1150,300,4,Normal
OF-1039,PAD-09,COLECTOR CALOR,5/8,Cobre,1950,450,2,Baja
OF-1040,,MANGUITO 2",2,Hierro,700,150,6,Alta
OF-1041,,S-05 3100L 650M,1 5/8,Cobre,,,1,Normal
OF-1042,,COLECTOR 1/2,1/2,Hierro,1500,350,3,Alta
OF-1043,PAD-10,CD-03,3/8,Cobre,1250,200,5,Normal
OF-1044,,MANGUITO 5/8,5/8,Hierro,900,250,7,Alta
OF-1045,,COLECTOR RETORNO,2,Cobre,3400,750,2,Normal
OF-1046,,S-01 1600L 300M,1/2,Cobre,,,4,Alta
OF-1047,PAD-11,COLECTOR PRINCIPAL,3/8,Hierro,2300,500,1,Normal
OF-1048,,MANGUITO 1 5/8,1 5/8,Cobre,850,200,6,Alta
OF-1049,,CD-09 2050L,5/8,Hierro,,,3,Normal
OF-1050,,COLECTOR FRÍO,2,Cobre,2750,550,2,Alta
